custAge,profession#0,profession#1,profession#2,profession#3,profession#4,profession#5,profession#6,profession#7,profession#8,profession#9,profession#10,marital#0,marital#1,marital#2,schooling#0,schooling#1,schooling#2,schooling#3,schooling#4,schooling#5,schooling#6,default,housing,loan,contact#0,contact#1,month#0,month#1,month#2,month#3,month#4,month#5,month#6,month#7,month#8,month#9,day_of_week#0,day_of_week#1,day_of_week#2,day_of_week#3,day_of_week#4,campaign,pdays,previous,poutcome#0,poutcome#1,poutcome#2,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,responded,profit
-0.558737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0110865,-1.06964,2.29646,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.197165,0.193952,-0.354061,0.0,1.0,0.0,-1.20047,-0.863217,-1.40585,-1.21265,-0.932102,0.193954,-0.280563,0.0,0.0
-0.847662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0110865,-1.06964,-0.435454,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.9401,0.193952,-0.354061,0.0,1.0,0.0,0.852733,0.596603,-0.454353,0.786738,0.85565,0.193954,-0.280563,0.0,0.0
-0.366119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0110865,-1.06964,-0.435454,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.564962,0.193952,-0.354061,0.0,1.0,0.0,0.852733,1.54383,-0.259729,0.782705,0.85565,0.193954,-0.280563,0.0,0.0
1.17482,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0110865,0.934891,-0.435454,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.197165,0.193952,-0.354061,0.0,1.0,0.0,0.852733,0.596603,-0.454353,0.783281,0.85565,0.193954,-0.280563,0.0,0.0
-0.0771937,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0110865,0.934891,-0.435454,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.27402,0.193952,-0.354061,0.0,1.0,0.0,0.852733,0.596603,-0.454353,0.782705,0.85565,0.193954,-0.280563,0.0,0.0
0.0191148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0110865,0.934891,-0.435454,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.170632,0.193952,-0.354061,0.0,1.0,0.0,0.852733,1.54383,-0.259729,0.727967,0.85565,0.193954,-0.280563,0.0,0.0
0.9822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0110865,-1.06964,-0.435454,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.170632,0.193952,-0.354061,0.0,1.0,0.0,0.852733,0.596603,-0.454353,0.782705,0.85565,0.193954,-0.280563,0.0,0.0
0.115423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0110865,-1.06964,-0.435454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.197165,0.193952,-0.354061,0.0,1.0,0.0,-2.22708,-1.97842,2.96237,-1.64882,-2.06296,0.193954,-0.280563,0.0,0.0
-1.61813,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0110865,0.934891,-0.435454,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.74521,0.193952,-0.354061,0.0,1.0,0.0,0.852733,1.54383,-0.259729,0.781553,0.85565,0.193954,-0.280563,0.0,0.0
-1.04028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0110865,0.934891,-0.435454,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.170632,0.193952,-0.354061,0.0,1.0,0.0,0.852733,-0.224217,0.972887,0.78501,0.85565,0.193954,-0.280563,0.0,0.0
1.65636,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0110865,-1.06964,-0.435454,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.197165,0.193952,-0.354061,0.0,1.0,0.0,0.852733,1.54383,-0.259729,0.782705,0.85565,0.193954,-0.280563,0.0,0.0
-0.655045,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0110865,-1.06964,-0.435454,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.538429,0.193952,-0.354061,0.0,1.0,0.0,0.852733,0.596603,-0.454353,0.782129,0.85565,0.193954,-0.280563,0.0,0.0
-0.655045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0110865,0.934891,-0.435454,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.564962,0.193952,1.6058,1.0,0.0,0.0,-0.751336,1.77935,-1.92484,-1.50823,-2.80993,0.193954,1.28042,0.0,0.0
1.84898,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0110865,-1.06964,-0.435454,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.48081,0.193952,-0.354061,0.0,1.0,0.0,0.852733,1.54383,-0.259729,0.780976,0.85565,0.193954,-0.280563,0.0,0.0
-0.173502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0110865,-1.06964,-0.435454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.564962,0.193952,1.6058,1.0,0.0,0.0,-1.20047,-1.17838,-1.21122,-1.31924,-0.932102,0.193954,0.49993,0.0,0.0
0.404349,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0110865,0.934891,2.29646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.197165,0.193952,-0.354061,0.0,1.0,0.0,-1.20047,-1.17838,-1.21122,-1.32731,-0.932102,0.193954,-0.280563,0.0,0.0
0.115423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0110865,0.934891,2.29646,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.564962,0.193952,-0.354061,0.0,1.0,0.0,0.852733,0.596603,-0.454353,0.785586,0.85565,0.193954,-0.280563,0.0,0.0
